225899	Waragwomi	Waragwomi		0.48333	30.91667	H	STM	UG		W	G2			0		1303	Africa/Kampala	2012-04-28
225900	War	War	War,Warr	3.48333	34.3	T	HLL	UG		N	D1	233569	8657750	0		1681	Africa/Kampala	2016-06-22
225901	War	War	War,Warr	2.60038	30.88884	P	PPL	UG		N	H7	227147	8658098	0		1401	Africa/Kampala	2016-06-22
225902	Wapet	Wapet	Wapet,Wapit	3.88333	34.03333	T	HLL	UG		N	D1	233569	8658052	0		1318	Africa/Kampala	2016-06-22
225903	Wapet	Wapet		3.12892	34.38724	T	HLL	UG		N	D1	233569	8657750	0		1432	Africa/Kampala	2018-09-05
225904	Wantuluntu	Wantuluntu		0.55	32.91667	S	MSSN	UG		C	90	7732383	8658447	0		1103	Africa/Kampala	2016-06-22
225905	Wantabu	Wantabu	Wantabu	0.5	30.36667	H	STM	UG		W	79			0		1346	Africa/Kampala	2017-01-04
225906	Wansolo	Wansolo	Wansolo	1.68333	32.5	P	PPL	UG		N	26	229387	8657675	0		1042	Africa/Kampala	2017-05-07
225907	Wanseko	Wanseko	Wanseko	2.17753	31.3821	P	PPL	UG		W	C5	7869947	8657780	0		625	Africa/Kampala	2016-06-22
225908	Wankobe	Wankobe		0.43333	32.93333	T	HLL	UG		C	90	7732383	8658222	0		1206	Africa/Kampala	2016-06-22
225909	Wankata	Wankata		0.26486	32.90317	P	PPL	UG		C	90	7732384	8658156	0		1190	Africa/Kampala	2016-12-03
225910	Wankaka	Wankaka		1.4	32.16667	P	PPL	UG		C	73	234123	8657970	0		1055	Africa/Kampala	2016-06-22
225911	Wanka	Wanka	Wanka	0.78193	30.25704	H	STM	UG		W	H1			0		947	Africa/Kampala	2017-01-04
225912	Wanjagi	Wanjagi		0.8	32.65	P	PPL	UG		C	70	8644157	8658440	0		1076	Africa/Kampala	2016-06-22
225913	Wangutusi	Wangutusi	Wangtuse,Wangutuse,Wangutusi	1.45	34.36667	T	HLL	UG		E	E9	7869956	8657825	0		1087	Africa/Kampala	2016-06-22
225914	Wangobo	Wangobo	Wango,Wangobo	1.1	33.51667	P	PPL	UG		E	D2	234305	8658203	0		1052	Africa/Kampala	2016-06-22
225915	Wangobo	Wangobo		0.7	33.68333	P	PPL	UG		E	G7	8644167	8657532	0		1074	Africa/Kampala	2016-06-22
225916	Wangkwar	Wangkwar		2.4344	31.78538	S	GATE	UG		N	H2	8644126	8200494	0		909	Africa/Kampala	2016-06-22
225917	Wangero	Wangero	Wangero,Wuangero	-0.03333	31.3	T	HLL	UG		C	74	229304	8658057	0		1267	Africa/Kampala	2016-06-22
225918	Wangale	Wangale	Wangale,Wangali	0.91759	34.10454	P	PPL	UG		E	C6	234147	8657570	0		1120	Africa/Kampala	2017-02-04
225919	Wanfufu	Wanfufu		0.96667	32.71667	P	PPL	UG		C	70	8644157	8658273	0		1065	Africa/Kampala	2016-06-22
225920	Wandulu	Wandulu		0.7	32.83333	P	PPL	UG		C	90	7732383	8658299	0		1084	Africa/Kampala	2016-06-22
225921	Wanica	Wanica	Wandica,Wanica	3.06394	31.09898	P	PPL	UG		N	77	226158	8658459	0		893	Africa/Kampala	2016-06-22
225922	Wandi	Wandi		3.10122	30.9784	P	PPL	UG		N	77	226158	8657701	0		1185	Africa/Kampala	2016-06-22
225923	Wandegeya	Wandegeya	Wandegeya	0.34987	33.55917	P	PPL	UG		E	86	8644164	8658141	0		1166	Africa/Kampala	2016-10-08
225924	Wandala	Wandala	Wandala	0.5	33.51667	P	PPL	UG		E	86	8644164	8658348	0		1161	Africa/Kampala	2016-10-08
225925	Wandaka	Wandaka		1.06667	32.78333	H	STM	UG		00				0		1045	Africa/Kampala	1993-12-28
225926	Wandagi	Wandagi		0.85	32.1	P	PPL	UG		C	42	8644178	8658429	0		1086	Africa/Kampala	2016-06-22
225927	Wanandsawa	Wanandsawa		1.78215	32.16756	H	STM	UG		W	F7			0		1033	Africa/Kampala	2012-04-28
225928	Wanandsawa	Wanandsawa	Nabansu,Wanandsawa,Wananswa	1.81667	32.15	T	HLL	UG		W	F7	231597	8657902	0		1079	Africa/Kampala	2016-06-22
225929	Wananda	Wananda		0.15654	32.12696	P	PPL	UG		C	F1	234000	8658354	0		1203	Africa/Kampala	2017-06-06
225930	Wanale	Wanale	Nkokonjeru,Wanale	1.03333	34.25	T	MT	UG		E	87	7732903	8644007	0		2092	Africa/Kampala	2016-06-22
225931	Wamusenyi	Wamusenyi		1.79415	32.15605	P	PPL	UG		W	F7	231597	8657902	0		1057	Africa/Kampala	2016-06-22
225932	Wamulongo	Wamulongo	Wamulongo	0.49678	33.52577	P	PPL	UG		E	86	8644164	8658348	0		1181	Africa/Kampala	2016-10-08
225933	Wamukende	Wamukende		1.35	32.25	P	PPL	UG		C	73	234123	8657970	0		1073	Africa/Kampala	2016-06-22
225934	Wampologoma	Wampologoma		0.79666	33.01133	P	PPL	UG		C	83	227613	8657831	0		1065	Africa/Kampala	2017-06-06
225935	Nawampendo	Nawampendo	Nawampendo,Wampendo	0.54251	33.548	P	PPL	UG		E	78	231410	8657982	0		1174	Africa/Kampala	2017-02-04
225936	Wamikira	Wamikira	Wamikira	0.82796	30.33442	H	STM	UG		W	79			0		784	Africa/Kampala	2017-01-04
225937	Wamfuru	Wamfuru		0.91667	30.53333	P	PPL	UG		W	85	228643	8657559	0		1216	Africa/Kampala	2016-06-22
225938	Wambabyo	Wambabyo		1.33333	31.15	H	STM	UG		W	31			0		1053	Africa/Kampala	2012-04-28
225939	Wambabya	Wambabya		1.58645	31.09586	H	STM	UG		W	31			0		615	Africa/Kampala	2012-04-28
225940	Wambabya	Wambabya		1.43333	31.13333	V	FRST	UG		W	31			0		1070	Africa/Kampala	2012-04-28
225941	Wamango	Wamango	Wamago,Wamango	0.33333	32.26667	V	FRST	UG		C	89			0		1199	Africa/Kampala	2012-04-28
225942	Wamalagwe	Wamalagwe		0.65	33.41667	H	STM	UG		00				0		1093	Africa/Kampala	1993-12-28
225943	Lake Wamala	Lake Wamala	Lake Wamala,Wamala	0.32833	31.84056	H	LK	UG		C	D8			0		1164	Africa/Kampala	2020-12-12
225944	Wamala	Wamala		0.13333	31.63333	P	PPL	UG		C	F4	233383	8657593	0		1171	Africa/Kampala	2016-06-22
225945	Wamala	Wamala	Kasozibabengwa,Wamala	0.06667	31.9	P	PPL	UG		C	F1	234000	8658268	0		1206	Africa/Kampala	2016-06-22
