	region	country_code
430	Foret Classee de Tobor	SN
431	Tobor	SN
432	Tobor	SN
433	Tobene	SN
434	Tobene	SN
435	Tlioki	SN
436	Tjisse Kaymor	SN
437	Tjisse	SN
438	Tjisse	SN
439	Tjikajinou	SN
440	Tjideko	SN
441	Tiovor	SN
442	Tiviann Koulandiala	SN
443	Tivel Bessel	SN
444	Tivare	SN
445	Tivaouane	SN
446	Tivaouane	SN
447	Tivaouane	SN
448	Tisse	SN
449	Tisse	SN
450	Tip Diaye	SN
451	Tip	SN
452	Thioyene	SN
453	Tioyene	SN
454	Tioyene	SN
455	Tioyene	SN
456	Tioyel	SN
457	Tioye	SN
458	Tioutoune	SN
459	Wassa Code Tioutinkobe	SN
460	Tiouti	SN
461	Tiousmel	SN
462	Tiourour	SN
463	Tiourouk	SN
464	Tioureneguene	SN
465	Tiourene	SN
466	Tiourene	SN
467	Tioupane	SN
468	Tiouoana	SN
469	Tiountou Aladi	SN
470	Tiouniel	SN
471	Tiounene	SN
472	Tioundi	SN
473	Tioun	SN
474	Tioumpoulaoua	SN
475	Tioump	SN
476	Tioumbo	SN
477	Tioumbe	SN
478	Tioukougne Peul	SN
479	Tioukongueul	SN
480	Tioukone	SN
481	Tiouko	SN
482	Tiougal	SN
483	Tiougal	SN
484	Tioubouk	SN
485	Tioubene	SN
486	Tioubene	SN
487	Tioubalel	SN
488	Tioubalel	SN
489	Tioubalel	SN
490	Tiorinnguel	SN
491	Tioringuel	SN
492	Tiorhol	SN
493	Tionok Sangue	SN
494	Tionok Diabi	SN
495	Tionk Essil	SN
496	Tiongo Mbea	SN
497	Tiongo Madia	SN
498	Tlone Khouma	SN
499	Tiomolog Tombo	SN
500	Tiomolog Diam	SN
501	Tiome	SN
502	Tiombi	SN
503	Tiomade	SN
504	Tiom	SN
505	Tiolom Tenefoul	SN
506	Tiolom Fall	SN
507	Vendou Tioli	SN
508	Tioli	SN
509	Tiolel	SN
510	Tiolane	SN
511	Tiokoye	SN
512	Tiokka	SN
513	Tioketian	SN
514	Tiokhmat	SN
515	Tioke Kiouar	SN
516	Tiogo Tiaski Mare	SN
517	Tiofihor	SN
518	Tiofak	SN
519	Tiodor du Ferlo	SN
520	Vendou Tiodorde Mourotoki	SN
521	Tiodorde	SN
522	Tiodorde	SN
523	Tiodorbe	SN
524	Tiodio Goye	SN
525	Tiobon	SN
526	Tiobe	SN
527	Tiobe	SN
528	Tiobe	SN
529	Tiobe	SN
530	Tintinkome	SN
531	Tinntiba	SN
532	Tinnodi	SN
533	Tinndoye	SN
534	Tinndiou	SN
535	Tinkili	SN
536	Tiniyel	SN
537	Tingoto	SN
538	Tingoto	SN
539	Ile de Tine Dine	SN
